id,id_parent,nome,vtype,vlink,id_artist,publishedon,views,likes,dislikes,lastupdate,recentviews,recentlikes,promoted,dead,promotedviews
1,0,"When would it be",main,o6HFiVaK15I,101,2014-10-30,8514733,55233,670,"2020-06-21 11:52:02",1335,29,n,n,0
2,0,"Not Spring,love or Cherry Blossoms",main,ouR4nn1G9r4,100,2014-04-07,106965179,645780,12816,"2020-06-21 02:05:02",38934,523,n,n,0
3,0,"Good day",main,jeqdYqsrsA0,98,2011-02-07,43401886,342755,10207,"2020-06-21 03:07:01",26339,319,n,n,0
4,3,"Good day",alternate,va193VEo5hk,98,2011-06-08,1962191,20073,296,"2020-06-21 08:01:02",264,6,n,n,0
6,0,"You & I",main,f_iQRO5BdCM,98,2011-11-28,31443609,251782,7144,"2020-06-21 01:40:01",44206,286,n,n,0
7,6,"You & I",duplicate,NJR8Inf77Ac,98,2011-12-05,27269915,149710,4447,"2020-06-21 05:48:02",12369,93,n,n,0
8,0,SOGYEOKDONG,main,GHu39FEFIks,98,2014-10-05,8653108,54282,1624,"2020-06-21 08:02:02",1450,30,n,n,0
9,0,"The red shoes",main,Q0xvVgKJxfs,98,2013-10-07,16266854,119927,7183,"2020-06-21 07:49:01",7305,83,n,n,0
10,9,"The red shoes",alternate,js3PTlQFakk,98,2013-10-20,2564862,23433,771,"2020-06-21 08:00:01",880,14,n,n,0
12,0,"Naui Yetnal Iyagi",main,npttud7NkL0,98,2014-05-15,20721557,132624,2657,"2020-06-21 07:47:02",5435,79,n,n,0
14,0,"Friday (ft Jang Yi-jeong)",main,EiVmQZwJhsA,98,2013-12-19,38427205,202812,3923,"2020-06-21 03:24:01",13326,122,n,n,0
16,17,Darling,duplicate,JP9NuaxhgcM,77,2014-07-13,5189912,50987,2080,"2020-06-21 07:45:02",253,3,n,n,0
17,0,Darling,main,QB4dQcxgJPY,77,2014-07-13,47368131,210361,12050,"2020-06-21 02:54:02",11762,82,n,n,0
22,0,Something,main,akPDKYwIoVk,77,2014-01-02,29975753,205495,9243,"2020-06-21 04:02:02",4540,60,n,n,0
23,22,Something,duplicate,JO7qQ7peKeM,77,2014-01-02,17831474,154574,6302,"2020-06-21 07:45:02",1265,9,n,n,0
24,22,Something,alternate,zVO5xTAbxm8,77,2014-01-16,27746239,314778,5677,"2020-06-21 21:02:02",44174,389,n,n,0
25,22,Something,duplicate,Gdma5UiMaEQ,77,2014-01-16,24046750,169214,4129,"2020-06-21 08:11:02",1663,1,n,n,0
29,0,"Female President",main,xF3MC8PWgJE,77,2013-06-23,28180886,143418,10960,"2020-06-21 05:58:02",7874,80,n,n,0
30,29,"Female President",alternate,U8ybc5lM4DM,77,2013-06-28,8916620,58145,2909,"2020-06-21 08:01:02",267,5,n,n,0
