SongName,CatBoxLink,GroupName,AlbumName,ArtistId,SongId,Duration,releasedate,issolo,Gender
BINGO,https://files.catbox.moe/6t1h8l.webm,24K,https://catbox.moe/c/sbql4w,2,11519,237.8,2016-10-21,n,male
Bonnie N Clyde,https://files.catbox.moe/p41syw.webm,24K,https://catbox.moe/c/sbql4w,2,2557,207.8,2018-05-25,n,male
Hey You,https://files.catbox.moe/kjk5nu.webm,24K,https://catbox.moe/c/sbql4w,2,1735,186.6,2015-04-12,n,male
Only You,https://files.catbox.moe/bdm2b8.webm,24K,https://catbox.moe/c/sbql4w,2,2121,198.68,2017-05-26,n,male
Still 24K,https://files.catbox.moe/0pasqk.webm,24K,https://catbox.moe/c/sbql4w,2,1733,279.68,2016-08-10,n,male
Super Fly,https://files.catbox.moe/4simj9.webm,24K,https://catbox.moe/c/sbql4w,2,1734,202.8,2015-09-30,n,male
Confession of a friend,https://files.catbox.moe/s8b9b6.webm,2AM,https://catbox.moe/c/dts5w3,3,9968,247.42,2009-03-20,n,male
I Did Wrong,https://files.catbox.moe/redbcm.webm,2AM,https://catbox.moe/c/dts5w3,3,894,304.6,2010-04-05,n,male
Like Crazy,https://files.catbox.moe/cwsbwg.webm,2AM,https://catbox.moe/c/dts5w3,3,9967,178.57999999999998,2010-10-25,n,male
Never let you go,https://files.catbox.moe/7vki4l.webm,2AM,https://catbox.moe/c/dts5w3,3,891,210.28,2010-01-23,n,male
No Good In Good-bye,https://files.catbox.moe/3afahg.webm,2AM,https://catbox.moe/c/dts5w3,3,17409,255.2,2021-11-01,n,male
One spring day,https://files.catbox.moe/y3extd.webm,2AM,https://catbox.moe/c/dts5w3,3,895,339.28,2013-03-04,n,male
Over the Destiny,https://files.catbox.moe/zcgrix.webm,2AM,https://catbox.moe/c/dts5w3,3,9966,266.26,2014-10-29,n,male
Regret,https://files.catbox.moe/g4h2h0.webm,2AM,https://catbox.moe/c/dts5w3,3,9965,262.86,2013-11-26,n,male
Should've Known,https://files.catbox.moe/xi6rlc.webm,2AM,https://catbox.moe/c/dts5w3,3,17408,247.18,2021-11-01,n,male
This Song,https://files.catbox.moe/ier9ae.webm,2AM,https://catbox.moe/c/dts5w3,3,9969,278.9,2009-02-20,n,male
You wouldn't Answer my calls,https://files.catbox.moe/ea4we8.webm,2AM,https://catbox.moe/c/dts5w3,3,3291,317.64,2010-10-25,n,male
Be Mine,https://files.catbox.moe/wbf7kp.webm,2NE1,https://catbox.moe/c/h0855l,4,1346,228.96,2012-06-05,n,female
