song_id,id_parent,kpop_name,kname,original_name,name_aka,vtype,tags,vlink,id_artist,id_original_artist,releasedate,publishedon,views,likes,dislikes,lastupdate,recentviews,recentlikes,awards,regionlocked,id,is_collab,name,fname,alias,id_company,id_artist1,id_artist2,id_artist3,id_artist4,members,issolo,id_parentgroup,id_currentgroup,formation,disband,social,id_debut,debut_date,date_birth,fanclub,miak,miak_level,sales,gaondigital_times,gaondigital_firsts,yawards,yawards_total,yt_followers
1,0,When would it be,이지은 + 윤현상,[MV] YOON HYUN SANG(윤현상) _ When would it be(언제쯤이면) (Duet. IU(아이유)),,main,,o6HFiVaK15I,101,0,2014-10-30,2014-10-30 00:00:00,9004751,61953,719,2022-03-23 15:46:43,603,6,0,n,101,y,IU + Yoon Hyun-sang,,,0,98,784,0,0,coed,n,0,0,,,,1,2014-10-30,,,0,none,0,0,0,,0,0
2,0,"Not Spring, Love or Cherry Blossoms",이지은 + 하이포,"[MV] HIGH4, IU(하이포, 아이유) _ Not Spring, Love, or Cherry Blossoms(봄,사랑,벚꽃 말고)",,main,,ouR4nn1G9r4,100,0,2014-04-07,2014-04-08 00:00:00,123976566,799688,14266,2022-03-23 18:48:04,22711,198,1,n,100,y,IU + HIGH4,,,0,98,783,0,0,coed,n,0,0,,,,0,,,,0,none,0,66,1,,0,0
3,0,Good day,아이유,IU (아이유) _ Good Day (좋은 날) _ MV,,main,,jeqdYqsrsA0,98,0,2011-02-07,2011-02-07 00:00:00,54927784,516509,12543,2022-03-23 20:46:50,11085,158,7,n,98,n,IU,Lee Jieun,이지은,282,0,0,0,0,female,y,0,0,2008,,"{""K"":""IU_(singer)"",""T"":""_IUofficial"",""I"":""dlwlrma"",""F"":""iu.loen"",""Y"":""UC3SyT4_WLHzN7JmHQwKQZww"",""V"":""FA895"",""A"":""iu\-409076743"",""D"":""iu""}",2300,2008-09-18,1993-05-16,,43095,some,1251842,1918,48,"{""KMA"":4,""GDA"":8,""MMA"":16,""MAMA"":8,""SMA"":7}",43,7460000
6,0,You & I,아이유,IU(아이유) _ YOU\u0026I(너랑나) MV,,main,,f_iQRO5BdCM,98,0,2011-11-28,2011-11-29 00:00:00,45166770,348102,9058,2022-03-23 20:32:11,8207,81,9,n,98,n,IU,Lee Jieun,이지은,282,0,0,0,0,female,y,0,0,2008,,"{""K"":""IU_(singer)"",""T"":""_IUofficial"",""I"":""dlwlrma"",""F"":""iu.loen"",""Y"":""UC3SyT4_WLHzN7JmHQwKQZww"",""V"":""FA895"",""A"":""iu\-409076743"",""D"":""iu""}",2300,2008-09-18,1993-05-16,,43095,some,1251842,1918,48,"{""KMA"":4,""GDA"":8,""MMA"":16,""MAMA"":8,""SMA"":7}",43,7460000
8,0,SOGYEOKDONG,아이유,[MV] IU(아이유) _ SOGYEOKDONG(소격동),,main,,GHu39FEFIks,98,0,2014-10-05,2014-10-06 00:00:00,9492053,64788,1745,2022-03-23 06:15:30,991,17,1,n,98,n,IU,Lee Jieun,이지은,282,0,0,0,0,female,y,0,0,2008,,"{""K"":""IU_(singer)"",""T"":""_IUofficial"",""I"":""dlwlrma"",""F"":""iu.loen"",""Y"":""UC3SyT4_WLHzN7JmHQwKQZww"",""V"":""FA895"",""A"":""iu\-409076743"",""D"":""iu""}",2300,2008-09-18,1993-05-16,,43095,some,1251842,1918,48,"{""KMA"":4,""GDA"":8,""MMA"":16,""MAMA"":8,""SMA"":7}",43,7460000
9,0,The red shoes,아이유,[MV] IU(아이유) _ The red shoes(분홍신),,main,,Q0xvVgKJxfs,98,0,2013-10-07,2013-10-08 00:00:00,19352110,151406,7673,2022-03-23 06:15:53,2456,24,6,n,98,n,IU,Lee Jieun,이지은,282,0,0,0,0,female,y,0,0,2008,,"{""K"":""IU_(singer)"",""T"":""_IUofficial"",""I"":""dlwlrma"",""F"":""iu.loen"",""Y"":""UC3SyT4_WLHzN7JmHQwKQZww"",""V"":""FA895"",""A"":""iu\-409076743"",""D"":""iu""}",2300,2008-09-18,1993-05-16,,43095,some,1251842,1918,48,"{""KMA"":4,""GDA"":8,""MMA"":16,""MAMA"":8,""SMA"":7}",43,7460000
12,0,My Old Story,아이유,[MV] IU(아이유) _ Naui Yetnal Iyagi(나의 옛날이야기) : My old story,Naui Yetnal Iyagi,main,m,npttud7NkL0,98,1188,2014-05-15,2014-05-16 00:00:00,26155526,280180,3432,2022-03-23 06:02:31,8773,132,0,n,98,n,IU,Lee Jieun,이지은,282,0,0,0,0,female,y,0,0,2008,,"{""K"":""IU_(singer)"",""T"":""_IUofficial"",""I"":""dlwlrma"",""F"":""iu.loen"",""Y"":""UC3SyT4_WLHzN7JmHQwKQZww"",""V"":""FA895"",""A"":""iu\-409076743"",""D"":""iu""}",2300,2008-09-18,1993-05-16,,43095,some,1251842,1918,48,"{""KMA"":4,""GDA"":8,""MMA"":16,""MAMA"":8,""SMA"":7}",43,7460000
14,0,Friday,아이유,[MV] IU(아이유) _ Friday(금요일에 만나요) (Feat. Jang Yi-jeong(장이정) of HISTORY(히스토리)),,main,,EiVmQZwJhsA,98,0,2013-12-19,2013-12-20 00:00:00,47004699,274100,4610,2022-03-23 20:46:27,11840,70,4,n,98,n,IU,Lee Jieun,이지은,282,0,0,0,0,female,y,0,0,2008,,"{""K"":""IU_(singer)"",""T"":""_IUofficial"",""I"":""dlwlrma"",""F"":""iu.loen"",""Y"":""UC3SyT4_WLHzN7JmHQwKQZww"",""V"":""FA895"",""A"":""iu\-409076743"",""D"":""iu""}",2300,2008-09-18,1993-05-16,,43095,some,1251842,1918,48,"{""KMA"":4,""GDA"":8,""MMA"":16,""MAMA"":8,""SMA"":7}",43,7460000
17,0,Darling,걸스데이,[MV] GIRL'S DAY(걸스데이) _ Darling(달링),,main,,QB4dQcxgJPY,77,0,2014-07-13,2014-07-13 00:00:00,51452771,246631,12463,2022-03-23 20:47:42,4098,24,3,n,77,n,Girl's Day,,,13,0,0,0,0,female,n,0,0,2010,2019,"{""K"":""Girl\\'s_Day"",""F"":""dai5y.gsd"",""T"":""girls_day"",""V"":""FDF27"",""I"":""dte_girlsday"",""U"":""girlsday5"",""Y"":""UCw-HcGlT9V7ErYfoAPvem4A""}",2631,2010-07-07,,Dai5y,0,none,142697,209,1,"{""GDA"":1,""MMA"":1,""MAMA"":1,""SMA"":1}",4,669000
22,0,Something,걸스데이,Girl's Day(걸스데이) 'Something' Official MV,,main,,akPDKYwIoVk,77,0,2014-01-02,2014-01-03 00:00:00,31174487,231495,9529,2022-03-23 04:31:44,1828,35,6,n,77,n,Girl's Day,,,13,0,0,0,0,female,n,0,0,2010,2019,"{""K"":""Girl\\'s_Day"",""F"":""dai5y.gsd"",""T"":""girls_day"",""V"":""FDF27"",""I"":""dte_girlsday"",""U"":""girlsday5"",""Y"":""UCw-HcGlT9V7ErYfoAPvem4A""}",2631,2010-07-07,,Dai5y,0,none,142697,209,1,"{""GDA"":1,""MMA"":1,""MAMA"":1,""SMA"":1}",4,669000
